n,deslocamento,x,y
1433,8148,81,48
1434,8152,81,52
1435,8156,81,56
1436,8160,81,60
1437,8164,81,64
1438,8168,81,68
1439,8172,81,72
1440,8176,81,76
1441,8180,81,80
1442,8184,81,84
1443,8188,81,88
1444,8192,81,92
1445,8196,81,96
1446,8200,82,0
1447,8204,82,4
1448,8208,82,8
1449,8212,82,12
1450,8216,82,16
1451,8220,82,20
1452,8224,82,24
1453,8228,82,28
1454,8232,82,32
1455,8236,82,36
1456,8240,82,40
1457,8244,82,44
1458,8248,82,48
1459,8252,82,52
1460,8256,82,56
1461,8260,82,60
1462,8264,82,64
1463,8268,82,68
1464,8272,82,72
1465,8276,82,76
1466,8280,82,80
1467,8284,82,84
1468,8288,82,88
1469,8292,82,92
1470,8296,82,96
1471,8300,83,0
1472,8304,83,4
1473,8308,83,8
1474,8312,83,12
1475,8316,83,16
1476,8320,83,20
1477,8324,83,24
1478,8328,83,28
1479,8332,83,32
1480,8336,83,36
1481,8340,83,40
1482,8344,83,44
1483,8348,83,48
1484,8352,83,52
1485,8356,83,56
1486,8360,83,60
1487,8364,83,64
1488,8368,83,68
1489,8372,83,72
1490,8376,83,76
1491,8380,83,80
1492,8384,83,84
1493,8388,83,88
1494,8392,83,92
1495,8396,83,96
1496,8400,84,0
1497,8404,84,4
1498,8408,84,8
1499,8412,84,12
1500,8416,84,16
1501,8420,84,20
1502,8424,84,24
1503,8428,84,28
1504,8432,84,32
1505,8436,84,36
1506,8440,84,40
