n,offset,x,y
1260,5770,57,70
1261,5906,59,6
1262,5926,59,26
1263,5774,57,74
1264,5946,59,46
1265,5902,59,2
1266,5882,58,82
1267,5934,59,34
1268,5718,57,18
1269,5942,59,42
1270,5754,57,54
1271,5878,58,78
1272,5842,58,42
1273,5890,58,90
1274,5710,57,10
1275,5894,58,94
1276,5714,57,14
1277,5726,57,26
1278,5778,57,78
1279,5898,58,98
1280,5730,57,30
1281,5738,57,38
1282,5798,57,98
1283,5846,58,46
1284,129584,1295,84
1285,129724,1297,24
1286,129552,1295,52
1287,129604,1296,4
1288,129640,1296,40
1289,129528,1295,28
1290,129712,1297,12
1291,129516,1295,16
1292,129716,1297,16
1293,129512,1295,12
1294,129644,1296,44
1295,129700,1297,0
1296,129728,1297,28
1297,129680,1296,80
1298,129520,1295,20
1299,129524,1295,24
1300,129532,1295,32
1301,129648,1296,48
1302,129608,1296,8
1303,129612,1296,12
1304,129616,1296,16
1305,129548,1295,48
1306,129652,1296,52
1307,129588,1295,88
1308,129600,1296,0
1309,129664,1296,64
1310,129684,1296,84
1311,129656,1296,56
1312,129736,1297,36
1313,129688,1296,88
1314,129732,1297,32
1315,129556,1295,56
1316,129740,1297,40
1317,129564,1295,64
1318,129560,1295,60
1319,129696,1296,96
1320,129620,1296,20
1321,129504,1295,4
1322,129692,1296,92
1323,129668,1296,68
1324,129508,1295,8
1325,129568,1295,68
1326,129536,1295,36
1327,129592,1295,92
1328,129704,1297,4
1329,129596,1295,96
1330,129720,1297,20
1331,129624,1296,24
1332,129540,1295,40
1333,129636,1296,36
1334,129572,1295,72
1335,129708,1297,8
1336,129576,1295,76
1337,129544,1295,44
1338,129580,1295,80
1339,129628,1296,28
1340,129672,1296,72
1341,129632,1296,32
1342,129660,1296,60
1343,129676,1296,76
1344,128988,1289,88
1345,128924,1289,24
1346,128980,1289,80
1347,128784,1287,84
1348,128944,1289,44
1349,128916,1289,16
1350,128908,1289,8
1351,128792,1287,92
1352,128852,1288,52
1353,128880,1288,80
1354,128780,1287,80
1355,128764,1287,64
1356,128736,1287,36
1357,128740,1287,40
1358,128744,1287,44
1359,128892,1288,92
1360,128896,1288,96
1361,128804,1288,4
1362,128788,1287,88
1363,128848,1288,48
1364,128984,1289,84
1365,128748,1287,48
1366,128752,1287,52
1367,128920,1289,20
1368,128900,1289,0
1369,128808,1288,8
1370,128840,1288,40
1371,128904,1289,4
1372,128820,1288,20
1373,128844,1288,44
1374,128824,1288,24
1375,128956,1289,56
1376,128832,1288,32
1377,128912,1289,12
1378,128812,1288,12
1379,128876,1288,76
1380,128932,1289,32
1381,128776,1287,76
1382,128828,1288,28
1383,128928,1289,28
1384,128816,1288,16
1385,128936,1289,36
1386,128856,1288,56
1387,128940,1289,40
1388,128948,1289,48
1389,128968,1289,68
1390,128756,1287,56
1391,128836,1288,36
1392,128952,1289,52
1393,128860,1288,60
1394,128760,1287,60
1395,128976,1289,76
1396,128960,1289,60
1397,128796,1287,96
1398,128768,1287,68
1399,128772,1287,72
1400,128964,1289,64
1401,128800,1288,0
1402,128864,1288,64
1403,128868,1288,68
1404,128872,1288,72
1405,128884,1288,84
1406,128888,1288,88
1407,128972,1289,72
1408,129120,1291,20
1409,129104,1291,4
1410,129124,1291,24
1411,129024,1290,24
1412,129088,1290,88
1413,129056,1290,56
1414,129168,1291,68
1415,129200,1292,0
1416,129060,1290,60
1417,129028,1290,28
1418,129100,1291,0
1419,129176,1291,76
1420,128992,1289,92
1421,129032,1290,32
1422,129096,1290,96
1423,129212,1292,12
1424,129044,1290,44
1425,129116,1291,16
1426,129108,1291,8
1427,129144,1291,44
1428,129068,1290,68
1429,129240,1292,40
1430,129164,1291,64
1431,129180,1291,80
1432,129128,1291,28
1433,129064,1290,64
1434,129008,1290,8
1435,129208,1292,8
1436,129080,1290,80
1437,129052,1290,52
1438,129036,1290,36
1439,129184,1291,84
1440,129244,1292,44
1441,129172,1291,72
1442,129048,1290,48
1443,128996,1289,96
1444,129000,1290,0
1445,129004,1290,4
1446,129132,1291,32
1447,129012,1290,12
1448,129112,1291,12
1449,129136,1291,36
1450,129016,1290,16
1451,129204,1292,4
1452,129236,1292,36
